Aasta,Sugu,Elukoht,Amet,Aasta_label,Sugu_label,Elukoht_label,Amet_label,value
2021,1,V1,39,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",1550
2021,1,V1,40,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Seadme- ja masinaoperaatorid ning koostajad,4636
2021,1,V1,41,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Seadme- ja masinaoperaatorid,1166
2021,1,V1,42,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Koostajad,667
2021,1,V1,43,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,2803
2021,1,V1,44,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Lihttöölised,4351
2021,1,V1,45,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Puhastustöölised ja abilised,1382
2021,1,V1,46,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",196
2021,1,V1,47,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",1696
2021,1,V1,48,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Toitlustuse abitöölised,370
2021,1,V1,49,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,27
2021,1,V1,50,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,680
2021,1,V1,51,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Sõjaväelased,421
2021,1,M1,1,2021,Mehed ja naised,..Maaline asustuspiirkond,Ametid kokku,182228
2021,1,M1,2,2021,Mehed ja naised,..Maaline asustuspiirkond,Juhid,14466
2021,1,M1,3,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",1385
2021,1,M1,4,2021,Mehed ja naised,..Maaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,3874
2021,1,M1,5,2021,Mehed ja naised,..Maaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,6708
2021,1,M1,6,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",2499
2021,1,M1,7,2021,Mehed ja naised,..Maaline asustuspiirkond,Tippspetsialistid,27960
2021,1,M1,8,2021,Mehed ja naised,..Maaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,3701
2021,1,M1,9,2021,Mehed ja naised,..Maaline asustuspiirkond,..Tervishoiu tippspetsialistid,3921
2021,1,M1,10,2021,Mehed ja naised,..Maaline asustuspiirkond,..Pedagoogika tippspetsialistid,10314
2021,1,M1,11,2021,Mehed ja naised,..Maaline asustuspiirkond,..Äri ja halduse tippspetsialistid,4494
2021,1,M1,12,2021,Mehed ja naised,..Maaline asustuspiirkond,..IKT tippspetsialistid,2383
2021,1,M1,13,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",3147
2021,1,M1,14,2021,Mehed ja naised,..Maaline asustuspiirkond,Tehnikud ja keskastme spetsialistid,19354
2021,1,M1,15,2021,Mehed ja naised,..Maaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,4818
2021,1,M1,16,2021,Mehed ja naised,..Maaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,1352
2021,1,M1,17,2021,Mehed ja naised,..Maaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,8511
2021,1,M1,18,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",3522
2021,1,M1,19,2021,Mehed ja naised,..Maaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,1151
2021,1,M1,20,2021,Mehed ja naised,..Maaline asustuspiirkond,Kontoritöötajad ja klienditeenindajad,11476
2021,1,M1,21,2021,Mehed ja naised,..Maaline asustuspiirkond,..Kontoritöötajad,1869
2021,1,M1,22,2021,Mehed ja naised,..Maaline asustuspiirkond,..Klienditeenindajad,3157
2021,1,M1,23,2021,Mehed ja naised,..Maaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,4951
2021,1,M1,24,2021,Mehed ja naised,..Maaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,1499
2021,1,M1,25,2021,Mehed ja naised,..Maaline asustuspiirkond,Teenindus- ja müügitöötajad,29056
2021,1,M1,26,2021,Mehed ja naised,..Maaline asustuspiirkond,..Isikuteenindajad,6842
2021,1,M1,27,2021,Mehed ja naised,..Maaline asustuspiirkond,..Müügitöötajad,13003
2021,1,M1,28,2021,Mehed ja naised,..Maaline asustuspiirkond,..Isikuhooldustöötajad,5974
2021,1,M1,29,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",3237
2021,1,M1,30,2021,Mehed ja naised,..Maaline asustuspiirkond,"Põllumajanduse, metsanduse, kalanduse ja jahinduse oskustöölised",5540
2021,1,M1,31,2021,Mehed ja naised,..Maaline asustuspiirkond,..Põllumajanduse oskustöölised,4246
2021,1,M1,32,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",1286
2021,1,M1,33,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",8
2021,1,M1,34,2021,Mehed ja naised,..Maaline asustuspiirkond,Oskus- ja käsitöölised,28517
2021,1,M1,35,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",9567
2021,1,M1,36,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",7489
2021,1,M1,37,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",1024
2021,1,M1,38,2021,Mehed ja naised,..Maaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,2124
2021,1,M1,39,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",8313
2021,1,M1,40,2021,Mehed ja naised,..Maaline asustuspiirkond,Seadme- ja masinaoperaatorid ning koostajad,23893
2021,1,M1,41,2021,Mehed ja naised,..Maaline asustuspiirkond,..Seadme- ja masinaoperaatorid,6166
2021,1,M1,42,2021,Mehed ja naised,..Maaline asustuspiirkond,..Koostajad,3345
2021,1,M1,43,2021,Mehed ja naised,..Maaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,14382
2021,1,M1,44,2021,Mehed ja naised,..Maaline asustuspiirkond,Lihttöölised,20903
2021,1,M1,45,2021,Mehed ja naised,..Maaline asustuspiirkond,..Puhastustöölised ja abilised,5846
2021,1,M1,46,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",2786
2021,1,M1,47,2021,Mehed ja naised,..Maaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",7747
2021,1,M1,48,2021,Mehed ja naised,..Maaline asustuspiirkond,..Toitlustuse abitöölised,1424
2021,1,M1,49,2021,Mehed ja naised,..Maaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,105
2021,1,M1,50,2021,Mehed ja naised,..Maaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,2995
2021,1,M1,51,2021,Mehed ja naised,..Maaline asustuspiirkond,Sõjaväelased,1063
2021,1,EE001,1,2021,Mehed ja naised,Põhja-Eesti,Ametid kokku,313827
2021,1,EE001,2,2021,Mehed ja naised,Põhja-Eesti,Juhid,34416
2021,1,EE001,3,2021,Mehed ja naised,Põhja-Eesti,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",3020
2021,1,EE001,4,2021,Mehed ja naised,Põhja-Eesti,..Äriteenindus- ja haldusjuhid,13918
2021,1,EE001,5,2021,Mehed ja naised,Põhja-Eesti,..Põhitegevuse ja valdkondade juhid,12190
2021,1,EE001,6,2021,Mehed ja naised,Põhja-Eesti,"..Külalismajanduse, kaubandus- jm teenuste juhid",5288
2021,1,EE001,7,2021,Mehed ja naised,Põhja-Eesti,Tippspetsialistid,76554
2021,1,EE001,8,2021,Mehed ja naised,Põhja-Eesti,..Loodus- ja tehnikateaduste tippspetsialistid,10853
2021,1,EE001,9,2021,Mehed ja naised,Põhja-Eesti,..Tervishoiu tippspetsialistid,9274
2021,1,EE001,10,2021,Mehed ja naised,Põhja-Eesti,..Pedagoogika tippspetsialistid,15096
