scenario,taxonomy,code,location_code,location_name,code_label,employed,source
2021_census,isco2,34,M1,..Maaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",3522,rl21154_census2021
2021_census,isco2,35,M1,..Maaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,1151,rl21154_census2021
2021_census,isco2,41,M1,..Maaline asustuspiirkond,..Kontoritöötajad,1869,rl21154_census2021
2021_census,isco2,42,M1,..Maaline asustuspiirkond,..Klienditeenindajad,3157,rl21154_census2021
2021_census,isco2,43,M1,..Maaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,4951,rl21154_census2021
2021_census,isco2,44,M1,..Maaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,1499,rl21154_census2021
2021_census,isco2,51,M1,..Maaline asustuspiirkond,..Isikuteenindajad,6842,rl21154_census2021
2021_census,isco2,52,M1,..Maaline asustuspiirkond,..Müügitöötajad,13003,rl21154_census2021
2021_census,isco2,53,M1,..Maaline asustuspiirkond,..Isikuhooldustöötajad,5974,rl21154_census2021
2021_census,isco2,54,M1,..Maaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",3237,rl21154_census2021
2021_census,isco2,61,M1,..Maaline asustuspiirkond,..Põllumajanduse oskustöölised,4246,rl21154_census2021
2021_census,isco2,62,M1,..Maaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",1286,rl21154_census2021
2021_census,isco2,63,M1,..Maaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",8,rl21154_census2021
2021_census,isco2,71,M1,..Maaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",9567,rl21154_census2021
2021_census,isco2,72,M1,..Maaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",7489,rl21154_census2021
2021_census,isco2,73,M1,..Maaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",1024,rl21154_census2021
2021_census,isco2,74,M1,..Maaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,2124,rl21154_census2021
2021_census,isco2,75,M1,..Maaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",8313,rl21154_census2021
2021_census,isco2,81,M1,..Maaline asustuspiirkond,..Seadme- ja masinaoperaatorid,6166,rl21154_census2021
2021_census,isco2,82,M1,..Maaline asustuspiirkond,..Koostajad,3345,rl21154_census2021
2021_census,isco2,83,M1,..Maaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,14382,rl21154_census2021
2021_census,isco2,91,M1,..Maaline asustuspiirkond,..Puhastustöölised ja abilised,5846,rl21154_census2021
2021_census,isco2,92,M1,..Maaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",2786,rl21154_census2021
2021_census,isco2,93,M1,..Maaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",7747,rl21154_census2021
2021_census,isco2,94,M1,..Maaline asustuspiirkond,..Toitlustuse abitöölised,1424,rl21154_census2021
2021_census,isco2,95,M1,..Maaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,105,rl21154_census2021
2021_census,isco2,96,M1,..Maaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,2995,rl21154_census2021
2021_census,isco2,11,EE001,Põhja-Eesti,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",3020,rl21154_census2021
2021_census,isco2,12,EE001,Põhja-Eesti,..Äriteenindus- ja haldusjuhid,13918,rl21154_census2021
2021_census,isco2,13,EE001,Põhja-Eesti,..Põhitegevuse ja valdkondade juhid,12190,rl21154_census2021
2021_census,isco2,14,EE001,Põhja-Eesti,"..Külalismajanduse, kaubandus- jm teenuste juhid",5288,rl21154_census2021
2021_census,isco2,21,EE001,Põhja-Eesti,..Loodus- ja tehnikateaduste tippspetsialistid,10853,rl21154_census2021
2021_census,isco2,22,EE001,Põhja-Eesti,..Tervishoiu tippspetsialistid,9274,rl21154_census2021
2021_census,isco2,23,EE001,Põhja-Eesti,..Pedagoogika tippspetsialistid,15096,rl21154_census2021
2021_census,isco2,24,EE001,Põhja-Eesti,..Äri ja halduse tippspetsialistid,18168,rl21154_census2021
2021_census,isco2,25,EE001,Põhja-Eesti,..IKT tippspetsialistid,13745,rl21154_census2021
2021_census,isco2,26,EE001,Põhja-Eesti,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",9418,rl21154_census2021
2021_census,isco2,31,EE001,Põhja-Eesti,..Loodus- ja tehnikateaduste keskastme spetsialistid,7805,rl21154_census2021
2021_census,isco2,32,EE001,Põhja-Eesti,..Tervishoiu keskastme spetsialistid,2608,rl21154_census2021
2021_census,isco2,33,EE001,Põhja-Eesti,..Äri ja halduse keskastme spetsialistid,22384,rl21154_census2021
2021_census,isco2,34,EE001,Põhja-Eesti,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",5625,rl21154_census2021
2021_census,isco2,35,EE001,Põhja-Eesti,..Infotehnoloogia ja telekommunikatsiooni tehnikud,3792,rl21154_census2021
2021_census,isco2,41,EE001,Põhja-Eesti,..Kontoritöötajad,5069,rl21154_census2021
2021_census,isco2,42,EE001,Põhja-Eesti,..Klienditeenindajad,10237,rl21154_census2021
2021_census,isco2,43,EE001,Põhja-Eesti,..Arvepidamise ja materjaliarvestuse kontoritöötajad,11510,rl21154_census2021
2021_census,isco2,44,EE001,Põhja-Eesti,..Muud kontoritöötajad ja klienditeenindajad,4868,rl21154_census2021
2021_census,isco2,51,EE001,Põhja-Eesti,..Isikuteenindajad,11812,rl21154_census2021
2021_census,isco2,52,EE001,Põhja-Eesti,..Müügitöötajad,20786,rl21154_census2021
2021_census,isco2,53,EE001,Põhja-Eesti,..Isikuhooldustöötajad,6148,rl21154_census2021
2021_census,isco2,54,EE001,Põhja-Eesti,"..Pääste-, politsei- ja turvatöötajad",4548,rl21154_census2021
2021_census,isco2,61,EE001,Põhja-Eesti,..Põllumajanduse oskustöölised,637,rl21154_census2021
2021_census,isco2,62,EE001,Põhja-Eesti,"..Metsanduse, kalanduse ja jahinduse oskustöölised",173,rl21154_census2021
2021_census,isco2,63,EE001,Põhja-Eesti,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",2,rl21154_census2021
2021_census,isco2,71,EE001,Põhja-Eesti,"..Ehitustöölised, v.a elektrikud",11278,rl21154_census2021
2021_census,isco2,72,EE001,Põhja-Eesti,"..Metallitöötluse, masinaehituse jms oskustöölised",10057,rl21154_census2021
2021_census,isco2,73,EE001,Põhja-Eesti,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",1790,rl21154_census2021
2021_census,isco2,74,EE001,Põhja-Eesti,..Elektri- ja elektroonikavaldkonna töölised,3918,rl21154_census2021
2021_census,isco2,75,EE001,Põhja-Eesti,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",5734,rl21154_census2021
2021_census,isco2,81,EE001,Põhja-Eesti,..Seadme- ja masinaoperaatorid,5575,rl21154_census2021
2021_census,isco2,82,EE001,Põhja-Eesti,..Koostajad,4689,rl21154_census2021
2021_census,isco2,83,EE001,Põhja-Eesti,..Mootorsõidukite ja liikurmasinate juhid,13098,rl21154_census2021
2021_census,isco2,91,EE001,Põhja-Eesti,..Puhastustöölised ja abilised,9890,rl21154_census2021
2021_census,isco2,92,EE001,Põhja-Eesti,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",527,rl21154_census2021
2021_census,isco2,93,EE001,Põhja-Eesti,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",9837,rl21154_census2021
2021_census,isco2,94,EE001,Põhja-Eesti,..Toitlustuse abitöölised,2404,rl21154_census2021
2021_census,isco2,95,EE001,Põhja-Eesti,..Tänaval jms kohtades teenuse osutajad,115,rl21154_census2021
2021_census,isco2,96,EE001,Põhja-Eesti,..Jäätmekäitluse jm lihttöölised,4460,rl21154_census2021
2021_census,isco2,11,EE001L,..Põhja-Eesti linnaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",2204,rl21154_census2021
2021_census,isco2,12,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,10558,rl21154_census2021
2021_census,isco2,13,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,8641,rl21154_census2021
2021_census,isco2,14,EE001L,..Põhja-Eesti linnaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",4011,rl21154_census2021
2021_census,isco2,21,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,8723,rl21154_census2021
2021_census,isco2,22,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Tervishoiu tippspetsialistid,7755,rl21154_census2021
2021_census,isco2,23,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Pedagoogika tippspetsialistid,11726,rl21154_census2021
2021_census,isco2,24,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Äri ja halduse tippspetsialistid,14342,rl21154_census2021
2021_census,isco2,25,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..IKT tippspetsialistid,11625,rl21154_census2021
2021_census,isco2,26,EE001L,..Põhja-Eesti linnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",7840,rl21154_census2021
2021_census,isco2,31,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,5901,rl21154_census2021
2021_census,isco2,32,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,2135,rl21154_census2021
2021_census,isco2,33,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,17136,rl21154_census2021
2021_census,isco2,34,EE001L,..Põhja-Eesti linnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",4453,rl21154_census2021
2021_census,isco2,35,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,3165,rl21154_census2021
2021_census,isco2,41,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Kontoritöötajad,3957,rl21154_census2021
2021_census,isco2,42,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Klienditeenindajad,8601,rl21154_census2021
2021_census,isco2,43,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,8813,rl21154_census2021
2021_census,isco2,44,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,3947,rl21154_census2021
2021_census,isco2,51,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Isikuteenindajad,9771,rl21154_census2021
2021_census,isco2,52,EE001L,..Põhja-Eesti linnaline asustuspiirkond,..Müügitöötajad,16647,rl21154_census2021
