isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
2240,Paramedical practitioners,22,Health professionals,0,0.6245,0.0,,0.11790178092773218,-0.6854777735548961,,3,2,,-0.283787996313582,0.40168977724131416,2,0,0,Mixed,Mixed,,,partial_coverage|no_employment_signal
2250,Veterinarians,22,Health professionals,451,0.5738,0.0,0.0112,-0.07383355089113747,-0.6854777735548961,-1.0601230348111337,3,2,1,-0.6064781197523891,0.40650743781508686,3,0,1,Mixed,Mixed,,,
2261,Dentists,22,Health professionals,1552,0.5657,0.0,0.1755,-0.10446582283853077,-0.6854777735548961,-0.06275866807241257,3,2,3,-0.28423408815527984,0.28423258433246873,3,0,0,Mixed,Mixed,3.0,3.0,
2262,Pharmacists,22,Health professionals,1552,0.7645,0.66,0.2952,0.6473484565616906,1.5398503414965126,0.6638664974700399,4,5,5,0.9503550985094144,0.41689062718109965,3,2,0,Robust High,Contested High,3.0,3.0,
2263,Environmental and occupational health and hygiene professionals,22,Health professionals,207,0.8086,0.0,0.337,0.8141241593863877,-0.6854777735548961,0.9176086187705789,4,2,5,0.34875166820069015,0.7325299365800979,3,1,0,Contested High,Mixed,,,
2264,Physiotherapists ,22,Health professionals,881,0.5399,0.0,0.2347,-0.2020352816339315,-0.6854777735548961,0.29660816400873347,3,2,4,-0.19696829706003138,0.40095091381993586,3,0,0,Mixed,Mixed,,,
2265,Dieticians and nutritionists,22,Health professionals,0,0.971,0.66,0.391,1.4282823031217797,1.5398503414965126,1.2454094453310836,5,5,5,1.4045140299831254,0.12137423790264143,3,3,0,Robust High,Robust High,,,|no_employment_signal
2266,Audiologists and speech therapists,22,Health professionals,749,0.844,0.0,0.2131,0.9479985330824029,-0.6854777735548961,0.16548783338453166,4,2,4,0.14266953097067947,0.6670590764843072,3,0,0,Mixed,Mixed,5.0,3.0,
2267,Optometrists and ophthalmic opticians,22,Health professionals,0,0.736,0.0,0.254,0.5395682404504919,-0.6854777735548961,0.41376660757572875,4,2,4,0.08928569149044151,0.5502425724383037,3,0,0,Mixed,Mixed,,,|no_employment_signal
2269,Health professionals not elsewhere classified,22,Health professionals,907,0.7353,0.0,0.2774,0.536921007072322,-0.6854777735548961,0.555813632418614,4,2,4,0.13575228864534664,0.5807485652840247,3,0,0,Mixed,Mixed,5.0,2.0,
2310,University and higher education teachers,23,Teaching professionals,4703,0.9422,0.0,0.0932,1.3193675584199371,-0.6854777735548961,-0.5623514092933299,5,2,2,0.02384612519057035,0.9174500398247207,3,1,0,Contested High,Mixed,3.0,3.0,
2320,Vocational education teachers,23,Teaching professionals,1654,0.6934,0.66,0.2935,0.378465180579016,1.5398503414965126,0.6535468418190609,4,5,5,0.8572874546315298,0.49553778933043385,3,2,0,Robust High,Contested High,4.0,3.0,
2330,Secondary education teachers,23,Teaching professionals,5524,0.9286,0.66,0.2424,1.2679355956440665,1.5398503414965126,0.3433501337219907,5,5,4,1.0503786902875234,0.5121207163045027,3,2,0,Robust High,Contested High,5.0,3.0,
2341,Primary school teachers,23,Teaching professionals,11026,0.8993,0.66,0.2149,1.1571299699578166,1.5398503414965126,0.17641452760321513,5,5,4,0.9577982796858481,0.5741887881824987,3,2,0,Robust High,Contested High,4.0,3.0,
