model,taxonomy,code,metric,value,source,notes
ilo_wp140,isco4,7113,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7113,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7113,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7114,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7114,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7114,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7115,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7115,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7115,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7119,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7119,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7119,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7121,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7121,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7121,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7122,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7122,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7122,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7123,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7123,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7123,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7124,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7124,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7124,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7125,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7125,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7125,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7126,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7126,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7126,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7127,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7127,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7127,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7131,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7131,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7131,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7132,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7132,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7132,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7133,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7133,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7133,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7211,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7211,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7211,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7212,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7212,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7212,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7213,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7213,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7213,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7214,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7214,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7214,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7215,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7215,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7215,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7221,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7221,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7221,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7222,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7222,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7222,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7223,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7223,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7223,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7224,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7224,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7224,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7231,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7231,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7231,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7232,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7232,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7232,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7233,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7233,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7233,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7234,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7234,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7234,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7311,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7311,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7311,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7312,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7312,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7312,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7313,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7313,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7313,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7314,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7314,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7314,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7315,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7315,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7315,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7316,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7316,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7316,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7317,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7317,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7317,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7318,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7318,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7318,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7319,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7319,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7319,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7321,exposure,0.0,derived,WP140 class: Not Affected
