isco4,name_et,county,county_name,gender,count,source_url
2164,Linna- ja liiklusplaneerijad,all,Kogu Eesti,F,148,https://palgad.stat.ee/api/charts/workers_total_section/2164/2025/Q4/average/all/all/all
2165,Kartograafid ja maamõõtjad,all,Kogu Eesti,M,462,https://palgad.stat.ee/api/charts/workers_total_section/2165/2025/Q4/average/all/all/all
2165,Kartograafid ja maamõõtjad,all,Kogu Eesti,F,247,https://palgad.stat.ee/api/charts/workers_total_section/2165/2025/Q4/average/all/all/all
2166,Kujundajad ja multimeediadisainerid,all,Kogu Eesti,M,714,https://palgad.stat.ee/api/charts/workers_total_section/2166/2025/Q4/average/all/all/all
2166,Kujundajad ja multimeediadisainerid,all,Kogu Eesti,F,700,https://palgad.stat.ee/api/charts/workers_total_section/2166/2025/Q4/average/all/all/all
2211,Üldarstid,all,Kogu Eesti,M,350,https://palgad.stat.ee/api/charts/workers_total_section/2211/2025/Q4/average/all/all/all
2211,Üldarstid,all,Kogu Eesti,F,1317,https://palgad.stat.ee/api/charts/workers_total_section/2211/2025/Q4/average/all/all/all
2212,Eriarstid,all,Kogu Eesti,M,1344,https://palgad.stat.ee/api/charts/workers_total_section/2212/2025/Q4/average/all/all/all
2212,Eriarstid,all,Kogu Eesti,F,2715,https://palgad.stat.ee/api/charts/workers_total_section/2212/2025/Q4/average/all/all/all
2221,Õenduse tippspetsialistid,all,Kogu Eesti,M,638,https://palgad.stat.ee/api/charts/workers_total_section/2221/2025/Q4/average/all/all/all
2221,Õenduse tippspetsialistid,all,Kogu Eesti,F,10194,https://palgad.stat.ee/api/charts/workers_total_section/2221/2025/Q4/average/all/all/all
2222,Ämmaemandad,all,Kogu Eesti,F,502,https://palgad.stat.ee/api/charts/workers_total_section/2222/2025/Q4/average/all/all/all
2230,Täiendmeditsiini ja loodusravi tippspetsialistid,all,Kogu Eesti,all,,https://palgad.stat.ee/api/charts/workers_total_section/2230/2025/Q4/average/all/all/all
2240,Erialase kõrgharidusega parameedikud,all,Kogu Eesti,all,,https://palgad.stat.ee/api/charts/workers_total_section/2240/2025/Q4/average/all/all/all
2250,Veterinaararstid,all,Kogu Eesti,M,111,https://palgad.stat.ee/api/charts/workers_total_section/2250/2025/Q4/average/all/all/all
2250,Veterinaararstid,all,Kogu Eesti,F,340,https://palgad.stat.ee/api/charts/workers_total_section/2250/2025/Q4/average/all/all/all
