isco4,leaf_id,leaf_name_et
5244,52440004,Kaugturundustöötaja
5244,52440005,Kaugturunduse müüja
5244,52440006,Telefonimüügi agent
5244,52449900,Mujal liigitamata telefonimüügi agendid
5245,52450001,Väikelaevasadama töötaja
5245,52450002,Tanklatöötaja
5245,52450003,Autopesula operaator
5246,52460001,Salatileti töötaja
5246,52460002,Kohviku letitöötaja
5246,52460003,Söökla teenindaja
5246,52460004,Toitlustuse klienditeenindaja
5246,52460005,Söökla letitöötaja
5246,52469900,Muud toitlustuse mujal liigitamata letitöötajad  
5249,52490001,Üüritehingute vahendaja
5249,52490002,Komplekteerija
5249,52499900,Mujal liigitamata müügitöötajad
5311,53110001,Lapsehoidja
5311,53110002,Pikapäevarühma kasvataja
5311,53110003,Abikasvataja
5311,53110004,Kasvataja abi
5311,53110005,Lastehoiutöötaja
5311,53110006,Lastekasvataja
5311,53110007,Päevahoiu töötaja
5311,53110008,Õpilaskodu kasvataja (v.a erikool)
5311,53110009,Öökasvataja
5311,53110010,Lapse tugiisik
5311,53119900,Mujal liigitamata lapsehoidjad   
5312,53120001,Õpetaja assistent
5312,53120002,Pedagoogi abi
5312,53120003,Õpetaja abi
5312,53120004,Õpilase tugiisik
5321,53210001,Hooldaja tervishoiuasutuses
5321,53210002,Sünnitusabiline (kliinikus või haiglas)
5321,53210003,Hooldaja hoolekandeasutuses
5322,53220001,Koduhooldustöötaja
5322,53220002,Hooldaja (kodus)
5322,53229900,Mujal liigitamata koduhooldustöötajad   
5329,53290001,Mujal liigitamata hooldustöötaja tervishoius
5413,54130001,Vangivalvur
5413,54130002,Vangla järelevalveinspektor
5413,54139900,Mujal liigitamata vangivalvurid   
5414,54140002,Turvamees
5414,54140003,Muuseumivalvur
5414,54140004,Uksehoidja
5414,54140005,Turvaspetsialist
5414,54140007,Turvatöötaja
5414,54140008,Häirejuhtimiskeskuse operaator
5414,54140009,Vahetuseülem (turvateenused)
5414,54149900,Mujal liigitamata turvatöötajad   
5419,54190001,Loomapüüdja
5419,54190002,Rannavalvur
5419,54190003,Ülekäigukoha valvur
5419,54190004,Vetelpäästja
5419,54190005,Liiklusreguleerija
5419,54190006,Loomakaitsetöötaja
5419,54199900,Muud mujal liigitamata turvatöötajad
6111,61110001,Kartulikasvataja
6111,61110002,Köögiviljakasvataja
6111,61110004,Põllumajanduse oskustöötaja (põllukultuurid)
6111,61110006,Teraviljakasvataja
