from_taxonomy,from_code,to_taxonomy,to_code,weight
isco4,3211,isco2,32,0.058823529411764705
isco4,3212,isco2,32,0.058823529411764705
isco4,3213,isco2,32,0.058823529411764705
isco4,3214,isco2,32,0.058823529411764705
isco4,3221,isco2,32,0.058823529411764705
isco4,3222,isco2,32,0.058823529411764705
isco4,3230,isco2,32,0.058823529411764705
isco4,3240,isco2,32,0.058823529411764705
isco4,3251,isco2,32,0.058823529411764705
isco4,3252,isco2,32,0.058823529411764705
isco4,3253,isco2,32,0.058823529411764705
isco4,3254,isco2,32,0.058823529411764705
isco4,3255,isco2,32,0.058823529411764705
isco4,3256,isco2,32,0.058823529411764705
isco4,3257,isco2,32,0.058823529411764705
isco4,3258,isco2,32,0.058823529411764705
isco4,3259,isco2,32,0.058823529411764705
isco4,3311,isco2,33,0.041666666666666664
isco4,3312,isco2,33,0.041666666666666664
isco4,3313,isco2,33,0.041666666666666664
isco4,3314,isco2,33,0.041666666666666664
isco4,3315,isco2,33,0.041666666666666664
isco4,3321,isco2,33,0.041666666666666664
isco4,3322,isco2,33,0.041666666666666664
isco4,3323,isco2,33,0.041666666666666664
isco4,3324,isco2,33,0.041666666666666664
isco4,3331,isco2,33,0.041666666666666664
isco4,3332,isco2,33,0.041666666666666664
isco4,3333,isco2,33,0.041666666666666664
isco4,3334,isco2,33,0.041666666666666664
isco4,3339,isco2,33,0.041666666666666664
isco4,3341,isco2,33,0.041666666666666664
isco4,3342,isco2,33,0.041666666666666664
isco4,3343,isco2,33,0.041666666666666664
isco4,3344,isco2,33,0.041666666666666664
isco4,3351,isco2,33,0.041666666666666664
isco4,3352,isco2,33,0.041666666666666664
isco4,3353,isco2,33,0.041666666666666664
isco4,3354,isco2,33,0.041666666666666664
isco4,3355,isco2,33,0.041666666666666664
isco4,3359,isco2,33,0.041666666666666664
isco4,3411,isco2,34,0.09090909090909091
isco4,3412,isco2,34,0.09090909090909091
isco4,3413,isco2,34,0.09090909090909091
isco4,3421,isco2,34,0.09090909090909091
isco4,3422,isco2,34,0.09090909090909091
isco4,3423,isco2,34,0.09090909090909091
isco4,3431,isco2,34,0.09090909090909091
isco4,3432,isco2,34,0.09090909090909091
isco4,3433,isco2,34,0.09090909090909091
isco4,3434,isco2,34,0.09090909090909091
isco4,3435,isco2,34,0.09090909090909091
isco4,3511,isco2,35,0.16666666666666666
isco4,3512,isco2,35,0.16666666666666666
isco4,3513,isco2,35,0.16666666666666666
isco4,3514,isco2,35,0.16666666666666666
isco4,3521,isco2,35,0.16666666666666666
isco4,3522,isco2,35,0.16666666666666666
isco4,4110,isco2,41,0.25
isco4,4120,isco2,41,0.25
isco4,4131,isco2,41,0.25
isco4,4132,isco2,41,0.25
isco4,4211,isco2,42,0.08333333333333333
isco4,4212,isco2,42,0.08333333333333333
isco4,4213,isco2,42,0.08333333333333333
isco4,4214,isco2,42,0.08333333333333333
isco4,4221,isco2,42,0.08333333333333333
isco4,4222,isco2,42,0.08333333333333333
isco4,4223,isco2,42,0.08333333333333333
isco4,4224,isco2,42,0.08333333333333333
isco4,4225,isco2,42,0.08333333333333333
isco4,4226,isco2,42,0.08333333333333333
isco4,4227,isco2,42,0.08333333333333333
isco4,4229,isco2,42,0.08333333333333333
isco4,4311,isco2,43,0.16666666666666666
isco4,4312,isco2,43,0.16666666666666666
